date,price
1989-12-11,37752.671875
1989-12-12,37803.53125
1989-12-13,38062.421875
1989-12-14,38180.69921875
1989-12-15,38271.0390625
1989-12-18,38586.1796875
1989-12-19,38439.1015625
1989-12-20,38512.0
1989-12-21,38215.48046875
1989-12-22,38040.37109375
1989-12-25,38423.62109375
1989-12-26,38681.30859375
1989-12-27,38801.62890625
1989-12-28,38876.94140625
1989-12-29,38915.87109375
1990-01-04,38712.87890625
1990-01-05,38274.76171875
1990-01-08,38294.9609375
1990-01-09,37951.4609375
1990-01-10,37696.51171875
1990-01-11,38170.12890625
1990-01-12,37516.76953125
1990-01-16,36850.359375
1990-01-17,36821.140625
1990-01-18,36729.4609375
1990-01-19,36836.5390625
1990-01-22,37257.01171875
1990-01-23,37378.01953125
1990-01-24,36778.98046875
1990-01-25,36969.109375
1990-01-26,36874.0703125
1990-01-29,37173.69921875
1990-01-30,37215.671875
1990-01-31,37188.94921875
1990-02-01,37206.421875
1990-02-02,37650.1484375
1990-02-05,37631.41015625
1990-02-06,37666.828125
1990-02-07,37301.87109375
1990-02-08,37516.23828125
1990-02-09,37288.140625
1990-02-13,37107.03125
1990-02-14,37155.890625
1990-02-15,37471.98828125
1990-02-16,37460.3203125
1990-02-19,37222.6015625
1990-02-20,36895.51953125
1990-02-21,35734.328125
1990-02-22,35826.83984375
1990-02-23,34890.96875
1990-02-26,33321.87109375
1990-02-27,33897.94921875
1990-02-28,34591.98828125
1990-03-01,33829.578125
1990-03-02,34057.55859375
1990-03-05,33845.19921875
1990-03-06,33791.078125
1990-03-07,33362.33984375
1990-03-08,33690.890625
1990-03-09,33993.12109375
1990-03-12,33368.23046875
1990-03-13,32620.5703125
1990-03-14,32352.130859375
1990-03-15,32671.640625
1990-03-16,32616.439453125
1990-03-19,31263.240234375
1990-03-20,30807.189453125
1990-03-22,29843.33984375
1990-03-23,30372.16015625
1990-03-26,31840.490234375
1990-03-27,31825.9609375
1990-03-28,31263.5703125
1990-03-29,31026.16015625
1990-03-30,29980.44921875
1990-04-02,28002.0703125
1990-04-03,28759.720703125
1990-04-04,28442.939453125
1990-04-05,28249.060546875
1990-04-06,29278.779296875
1990-04-09,30397.9296875
1990-04-10,29624.6796875
1990-04-11,29440.279296875
1990-04-12,29623.19921875
1990-04-13,29213.919921875
1990-04-16,28463.1796875
1990-04-17,28461.599609375
1990-04-18,29249.060546875
1990-04-19,29945.41015625
1990-04-20,29835.439453125
1990-04-23,29679.0703125
1990-04-24,29501.380859375
1990-04-25,29564.359375
1990-04-26,29424.580078125
1990-04-27,29584.80078125
1990-05-01,29689.830078125
1990-05-02,30173.640625
1990-05-07,30956.26953125
1990-05-08,30970.580078125
1990-05-09,30945.609375
1990-05-10,30980.259765625
1990-05-11,31512.140625
1990-05-14,32042.650390625
1990-05-15,31997.0390625
1990-05-16,31967.619140625
1990-05-17,32061.599609375
1990-05-18,32013.720703125
1990-05-21,31765.05078125
1990-05-22,31938.30078125
1990-05-23,32176.509765625
1990-05-24,32311.75
1990-05-25,32793.87890625
1990-05-28,33191.609375
1990-05-29,32817.671875
1990-05-30,32926.26171875
1990-05-31,33130.80078125
1990-06-01,32891.12109375
1990-06-04,32925.37109375
1990-06-05,32921.62109375
1990-06-06,32953.5
1990-06-07,33192.5
1990-06-08,32993.2890625
1990-06-11,32540.1796875
1990-06-12,32322.310546875
1990-06-13,32371.76953125
1990-06-14,32668.109375
1990-06-15,32538.400390625
1990-06-18,32376.80078125
1990-06-19,32040.380859375
1990-06-20,32087.759765625
1990-06-21,32087.26953125
1990-06-22,31694.5703125
1990-06-25,31124.189453125
1990-06-26,31571.76953125
1990-06-27,32312.75
1990-06-28,32106.189453125
1990-06-29,31940.240234375
1990-07-02,32160.23046875
1990-07-03,32414.599609375
1990-07-04,32445.919921875
1990-07-05,32351.669921875
1990-07-06,32445.119140625
1990-07-09,32538.279296875
1990-07-10,32152.4296875
1990-07-11,32294.1796875
1990-07-12,32575.3203125
1990-07-13,32644.369140625
1990-07-16,33021.73046875
1990-07-17,33172.28125
1990-07-18,33048.109375
1990-07-19,33055.62109375
1990-07-20,32421.51953125
1990-07-23,31894.7890625
1990-07-24,31702.4609375
1990-07-25,31701.26953125
1990-07-26,31369.75
1990-07-27,30863.48046875
1990-07-30,30442.94921875
1990-07-31,31035.66015625
1990-08-01,30837.990234375
1990-08-02,30245.1796875
1990-08-03,29515.759765625
1990-08-06,28599.529296875
1990-08-07,27653.0703125
1990-08-08,28509.140625
1990-08-09,27615.73046875
1990-08-10,27329.55078125
1990-08-13,26176.4296875
1990-08-14,26672.529296875
1990-08-15,28112.119140625
1990-08-16,27549.439453125
1990-08-17,26786.720703125
1990-08-20,26490.470703125
1990-08-21,26297.83984375
1990-08-22,25210.91015625
1990-08-23,23737.630859375
1990-08-24,24165.759765625
1990-08-27,25141.759765625
1990-08-28,25710.759765625
1990-08-29,24894.7890625
1990-08-30,25669.9609375
1990-08-31,25978.369140625
1990-09-03,25420.4296875
1990-09-04,24907.640625
1990-09-05,24078.33984375
1990-09-06,23811.91015625
1990-09-07,23962.0703125
1990-09-10,25080.900390625
1990-09-11,24604.66015625
1990-09-12,25216.140625
1990-09-13,25075.080078125
1990-09-14,24897.4609375
1990-09-17,24365.599609375
1990-09-18,23884.8203125
1990-09-19,23726.169921875
1990-09-20,23602.98046875
1990-09-21,23777.830078125
1990-09-25,23359.3203125
1990-09-26,22250.619140625
1990-09-27,21771.91015625
1990-09-28,20983.5
1990-10-01,20221.859375
1990-10-02,22898.41015625
1990-10-03,22849.390625
1990-10-04,22278.189453125
1990-10-05,22827.650390625
1990-10-08,23630.0
1990-10-09,23495.109375
1990-10-11,22585.630859375
1990-10-12,22390.16015625
1990-10-15,23109.19921875
1990-10-16,23606.099609375
1990-10-17,23859.359375
1990-10-18,24367.080078125
1990-10-19,24481.490234375
1990-10-22,25070.859375
1990-10-23,25298.30078125
1990-10-24,24876.880859375
1990-10-25,25352.630859375
1990-10-26,25005.640625
1990-10-29,25329.310546875
1990-10-30,25242.400390625
1990-10-31,25194.099609375
1990-11-01,24295.16015625
1990-11-02,24194.990234375
1990-11-05,24385.330078125
1990-11-06,23965.75
1990-11-07,23500.25
1990-11-08,22969.810546875
1990-11-09,22931.80078125
1990-11-13,23973.669921875
1990-11-14,23937.439453125
1990-11-15,23487.48046875
1990-11-16,23171.630859375
1990-11-19,23518.16015625
1990-11-20,23205.48046875
1990-11-21,22816.990234375
1990-11-22,23400.279296875
1990-11-26,23762.859375
1990-11-27,23623.509765625
1990-11-28,23053.880859375
1990-11-29,22712.599609375
1990-11-30,22454.630859375
1990-12-03,22725.990234375
1990-12-04,21862.609375
1990-12-05,22193.720703125
1990-12-06,22553.099609375
1990-12-07,23522.490234375
1990-12-10,23784.669921875
1990-12-11,23956.970703125
1990-12-12,23999.41015625
1990-12-13,24642.970703125
1990-12-14,24349.5
1990-12-17,24087.91015625
1990-12-18,24424.01953125
1990-12-19,24876.779296875
1990-12-20,24524.939453125
1990-12-21,24119.599609375
1990-12-25,23767.880859375
1990-12-26,23887.560546875
1990-12-27,23940.69921875
1990-12-28,23848.7109375
1991-01-04,24069.1796875
1991-01-07,23736.5703125
1991-01-08,22897.83984375
1991-01-09,22969.26953125
1991-01-10,23047.359375
1991-01-11,23241.01953125
1991-01-14,23213.23046875
1991-01-16,22442.69921875
1991-01-17,23446.810546875
1991-01-18,23808.30078125
1991-01-21,23352.189453125
1991-01-22,23253.650390625
1991-01-23,23050.099609375
1991-01-24,23269.009765625
1991-01-25,23573.25
1991-01-28,23569.439453125
1991-01-29,23460.119140625
